Data;Palmeira;Altura Palmeira (m);Área;Quadrante;Número;Família;Gênero;Espécie;Altura (cm);Dap (mm);Nativa;Estágio sucessional;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;2;Rubiaceae;Coffea ;Coffea arabica;34;3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;3;Rubiaceae;Coffea ;Coffea arabica;29;4,5;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;4;Sapindaceae;Cupania;Cupania oblongifolia;58;5,4;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;5;Sapindaceae;Cupania;Cupania oblongifolia;164;10,8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;6;Rubiaceae;Coffea ;Coffea arabica;23;3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;7;Sapindaceae;Cupania;Cupania oblongifolia;39;6,3;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;9;Rubiaceae;Coffea ;Coffea arabica;85;14,2;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;2;10;Myrtaceae;Myrciaria;Myrciaria floribunda;300;32;S;Secundária Tardia;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Não Classificada;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Copa;4;11;Sapindaceae;Cupania;Cupania oblongifolia;25;5,7;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;1;12;Rubiaceae;Coffea ;Coffea arabica;87;7,6;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;1;14;Monimiaceae;Mollinedia;Mollinedia schottiana;59;8;S;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;1;15;Sapindaceae;Cupania;Cupania oblongifolia;49;4,8;S;Secundária Inicial;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;16;Rubiaceae;Coffea ;Coffea arabica;38;3,4;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
29/11/2019;1;3;Externo;2;17;Rubiaceae;Coffea ;Coffea arabica;72;5,3;N;Umbrófila;;;;;;;;;;;;;;;;;;;;;
